Category: All categories

Month,ultimate team: (United States)
2004-01,2
2004-02,4
2004-03,3
2004-04,3
2004-05,4
2004-06,3
2004-07,2
2004-08,3
2004-09,4
2004-10,4
2004-11,3
2004-12,2
2005-01,2
2005-02,3
2005-03,4
2005-04,2
2005-05,3
2005-06,4
2005-07,4
2005-08,4
2005-09,4
2005-10,3
2005-11,1
2005-12,2
2006-01,3
2006-02,3
2006-03,3
2006-04,4
2006-05,4
2006-06,4
2006-07,2
2006-08,3
2006-09,3
2006-10,6
2006-11,5
2006-12,5
2007-01,4
2007-02,4
2007-03,4
2007-04,4
2007-05,5
2007-06,5
2007-07,4
2007-08,4
2007-09,6
2007-10,4
2007-11,4
2007-12,5
2008-01,4
2008-02,4
2008-03,4
2008-04,5
2008-05,6
2008-06,7
2008-07,4
2008-08,4
2008-09,5
2008-10,4
2008-11,3
2008-12,4
2009-01,3
2009-02,5
2009-03,7
2009-04,8
2009-05,9
2009-06,9
2009-07,9
2009-08,7
2009-09,10
2009-10,7
2009-11,4
2009-12,7
2010-01,20
2010-02,17
2010-03,16
2010-04,13
2010-05,11
2010-06,11
2010-07,11
2010-08,22
2010-09,17
2010-10,17
2010-11,24
2010-12,22
2011-01,28
2011-02,26
2011-03,24
2011-04,22
2011-05,26
2011-06,29
2011-07,28
2011-08,28
2011-09,50
2011-10,56
2011-11,38
2011-12,49
2012-01,54
2012-02,45
2012-03,40
2012-04,44
2012-05,47
2012-06,51
2012-07,47
2012-08,44
2012-09,89
2012-10,91
2012-11,75
2012-12,85
2013-01,81
2013-02,69
2013-03,61
2013-04,49
2013-05,55
2013-06,54
2013-07,66
2013-08,54
2013-09,80
2013-10,72
2013-11,64
2013-12,77
2014-01,77
2014-02,65
2014-03,56
2014-04,50
2014-05,50
2014-06,54
2014-07,62
2014-08,56
2014-09,100
2014-10,73
2014-11,59
2014-12,67
2015-01,72
2015-02,61
2015-03,45
2015-04,34
2015-05,34
2015-06,32
2015-07,30
2015-08,33
2015-09,52
2015-10,39
2015-11,33
2015-12,37
2016-01,38
2016-02,36
2016-03,29
2016-04,23
2016-05,21
2016-06,24
2016-07,22
2016-08,23
2016-09,27
2016-10,30
2016-11,23
2016-12,29
2017-01,28
2017-02,24
2017-03,18
2017-04,18
2017-05,16
2017-06,16
2017-07,19
2017-08,22
2017-09,23
2017-10,27
2017-11,19
2017-12,22
2018-01,21
2018-02,17
2018-03,13
2018-04,12
2018-05,13
2018-06,14
2018-07,13
2018-08,20
2018-09,17
2018-10,18
2018-11,17
2018-12,22
2019-01,19
2019-02,16
2019-03,12
